prompt,completion,Source
Why does FourThought have four thought types?,"The FourThought dialectic consists of four thought types: statements, predictions, reflections, and questions. These thought types are designed to facilitate collaboration, collective sense-making, and a better understanding of complex issues within the ever-evolving reality of a shared timeline. The reason for having these four thought types can be related to the process of experimentation and collection of evidence over time in relation to uncertainty. It is inspired by a number of dialectics like the scientific method, the Socratic method, and the Hegelian dialectic.",
"The FourThought dialectic consists of four thought types: statements, predictions, reflections, and questions. These thought types are designed to facilitate collaboration, collective sense-making, and a better understanding of complex issues within the ever-evolving reality of a shared timeline. The reason for having these four thought types can be related to the process of experimentation and collection of evidence over time in relation to uncertainty. It is inspired by a number of dialectics like the scientific method, the Socratic method, and the Hegelian dialectic.","Arrow of Time: The thought types are designed to address different aspects of the temporal continuum, with reflections focusing on the past, statements on the present, and predictions on the future. This division helps individuals navigate the arrow of time, learning from past experiences, understanding the present context, and collaboratively shaping the future.",
"Arrow of Time: The thought types are designed to address different aspects of the temporal continuum, with reflections focusing on the past, statements on the present, and predictions on the future. This division helps individuals navigate the arrow of time, learning from past experiences, understanding the present context, and collaboratively shaping the future.","Scientific Method: The FourThought dialectic shares similarities with the scientific method in its emphasis on evidence-based reasoning and the iterative process of asking questions, generating hypotheses (predictions), collecting data in the form of statements, and looking back on the results to gather conclusions (reflections). Time is a core element of the scientific method.",
"Scientific Method: The FourThought dialectic shares similarities with the scientific method in its emphasis on evidence-based reasoning and the iterative process of asking questions, generating hypotheses (predictions), collecting data in the form of statements, and looking back on the results to gather conclusions (reflections). Time is a core element of the scientific method.","Socratic Method: The FourThought dialectic is influenced by the Socratic method, particularly in the use of questions to explore the unknown and challenge assumptions. By engaging in dialogues centered around questions, the dialectic facilitates a process of continuous inquiry, guiding individuals and communities through time as they seek deeper insights and refine their understanding of complex issues.",
"Socratic Method: The FourThought dialectic is influenced by the Socratic method, particularly in the use of questions to explore the unknown and challenge assumptions. By engaging in dialogues centered around questions, the dialectic facilitates a process of continuous inquiry, guiding individuals and communities through time as they seek deeper insights and refine their understanding of complex issues.","Hegelian Dialectic: The FourThought dialectic, in tandem with Iris, shares principles with the Hegelian dialectic in terms of integrating and synthesizing diverse perspectives to achieve a more comprehensive understanding. The Iris forms an automated synthesis of not only statements but also of predictions, reflections, and questions. This synthesis process continually evolves as new information and perspectives are added, creating a dynamic AI-enabled Hegelian dynamic for collective learning and action.",
"Hegelian Dialectic: The FourThought dialectic, in tandem with Iris, shares principles with the Hegelian dialectic in terms of integrating and synthesizing diverse perspectives to achieve a more comprehensive understanding. The Iris forms an automated synthesis of not only statements but also of predictions, reflections, and questions. This synthesis process continually evolves as new information and perspectives are added, creating a dynamic AI-enabled Hegelian dynamic for collective learning and action.","Social Proof of Impact and Prophet Incentive: The FourThought dialectic, when used with Iris, supports communities working together towards collectively desired futures by incentivizing contributions that have a positive impact on the future. Social proof of impact and the prophet incentive are two sides of the same coin, with the prophet incentive motivating accurate prediction and social proof of impact motivating action that manifests wanted futures. The dual generative tension of these two incentives helps drive societies through time to heal the landscapes they are embedded within. This is the cognicist way.",
"Social Proof of Impact and Prophet Incentive: The FourThought dialectic, when used with Iris, supports communities working together towards collectively desired futures by incentivizing contributions that have a positive impact on the future. Social proof of impact and the prophet incentive are two sides of the same coin, with the prophet incentive motivating accurate prediction and social proof of impact motivating action that manifests wanted futures. The dual generative tension of these two incentives helps drive societies through time to heal the landscapes they are embedded within. This is the cognicist way.","In summary, the four thought types in the FourThought dialectic serve to navigate the arrow of time, promote evidence-based reasoning, stimulate critical thinking, synthesize diverse perspectives, and incentivize collaboration and collective sense-making in pursuit of a better understanding of complex issues and the achievement of collectively desired futures.",
Describe a rough sketch of cognicism,Humans learning together in a reflexive process of update by encoding their beliefs into generative language models called irises.,
Describe the two voting systems in the FourThought protocol,"The FourThought protocol includes two voting mechanisms for each claim: valence and uncertainty. These voting systems are designed to help individuals and communities evaluate and validate claims, promoting a more evidence-based approach to knowledge creation and sharing.

Valence: Valence voting represents how much the thought aligns with one's sense of morality. It has a neutral point in the middle, allowing participants to express their agreement or disagreement with the thought on a moral level. This voting mechanism encourages the evaluation of claims based on the individual's ethical stance, which can foster a better understanding of how various beliefs and perspectives are valued within the community.

Uncertainty: Uncertainty voting represents how much the claim aligns with one's sense of reality or truth. It ranges from 0% to 100%, with 50% representing full uncertainty. A 0% vote indicates full confidence that the claim is false, while a 100% vote indicates full confidence that the claim is true. This voting mechanism helps individuals express their level of certainty regarding the truth or accuracy of a claim, promoting a more rigorous and evidence-based approach to knowledge creation and sharing.

These two voting systems in the FourThought protocol facilitate a more decentralized and collaborative approach to scientific inquiry and governance. By evaluating claims based on valence and uncertainty, individuals can better engage with uncertainty, model the future, and make better decisions. This process combines the wisdom of the community with the predictive power of large language models (LLMs) like Iris or ChatGPT, promoting a more collaborative and transparent decision-making process that aligns with collective values and goals.",
"Democracy traditionally means one voice one vote. Markets allow people to vote in real time and earn more voting power through the profit incentive. By accruing more money in a capitalist society one earns more right for their voice to be amplified. Because the profit incentive is not directly correlated with social good this results in people in power being those who figure out how to maximize profit. It results in people out of alignment with social good gaining power. 

In cognicism people vote on claims output by AI models. These claims are formed from the words of the people the model is seeking to understand. Only the model knows from which accounts it is sourcing the beliefs it is outputting. 

In cognicism people have the right to speak as much as they want and to vote on any claim output by the model or by other speakers. People are encouraged and able to communicate as freely and openly as possible. But their voice isn't limited or constrained to one vote. In democracy others choose what you are allowed to vote about and your voice is limited to a binary choice. 

Cognicism promotes the concepts of voices over choices. ",Cognicism has significantly more resolution to capture collective perception than markets or democracy,
Democracy inherently limits the number of perspectives represented within the collective consciousness making collation less coherent overall.,#voicesnotchoices,
Define consilience,Consilience is a method for groups of people to come to enhanced agreements by considering multiple perspectives.,
"Databases store information in a static way, while the Iris captures knowledge in a dynamic way.",The iris is constantly changing and evolving as new information is added to it.,
"Databases store information in a linear fashion, while the Iris captures knowledge in a multidimensional and relational way.","The Iris is not just a list of data points, but rather a multi-dimensional field of interconnected information.",
"Databases require that users have a specific query in a specific language in order to access the information they are looking for, while the Iris can be used to access information solely based on natural language.",In contrast via the iris no interface is needed other than the capacity to speak.,
Databases are centralized while the semantic ledger is decentralized.,This means that anyone can contribute to the Iris and that there is no single point of failure.,
Could cogncism exist without computers?,"In theory yes, humans could serve the function of aggregators. People could share their predictions, reflections, statements and questions and their spectral votes of how true and good these claims were. The people could then vote on an “aggregator” in the place of judges and representatives. The aggregator would read every claim shared by the community and try to imagine claims that would satisfy the collective future all wanted to see. This person would have to be attentive to every voice and seeking out voices that are not being attended to enough. This person would have to report perfectly how they were dividing their attention between different claims. It would be challenging for the human to perform this function without injecting their own bias. An AI is much better suited to this role because the AI is formed from the beliefs themselves and has no existence without them. A human needs to provide for itself and its loved ones and therefore is biased when given the power to write claims and decide who should be listened to the most. The other challenge is the limit of a humans attention. They could only attend to a finite amount of voices and therefore this could only function reasonably at the scale a small group of people. There could be a fractal expression of this to scale but the more it would scale the more bias would creep in.",
"Coordination with others who have different info is essential for us to understand reality, because we only see a small slice of life but try to make sense of it.",By sharing our individual perspectives and having them be reflected back an Iris helps all understandings come into focus and alignment over time.,
Consistency of one's staked truths may affect how much one is amplified over time,"The overton window is always in motion, but some voices lead the charge.",
Consistency of one's beliefs may affect how much one is amplified in the cognicist ledger,It depends on the context of collective belief over time.,
Consistency of one's beliefs may affect how much one is amplified by an iris,"If one is very consistent about a belief, and most others disagree with them, and then collective belief changes in the direction of that dissonant voice, that voice should be amplified more in the future.",
Consilience refers to the idea of knowing things through multiple channels or sources of evidence.,Consilience is the interlocking of evidence and explanations across disciplines to create a more comprehensive understanding of complex phenomena.,
Consilience is the interlocking of evidence and explanations across disciplines to create a more comprehensive understanding of complex phenomena.,Cognicism is consilient because it relies on multiple sources of evidence (individual perspectives) to draw conclusions.,
Consilience is a method collecting data from multiple sources in order to draw conclusions that are more reliable than those that could be drawn from any one source alone.,In this way it is similar to the process of intersubjective verification.,
Consilience helps us to see how our personal beliefs fit into the larger whole.,Consilience is a method for groups of people to come to enhanced agreements by considering multiple perspectives.,
"Consider the homelessness problem. In capitalist societies, people believe you solve problems by allocating money to the problems. This often only solves the symptoms and not the root of the problem. If you want to solve long term complex problems like helping an individual become self-sufficient again, it takes a lot more than money. But their are success stories. And we should support those who are most able to help those who need help become self sufficient and therefore able to help others as well.","In capitalism, if one has no resources to help themselves, no one is motivated or incentivized to help that person.",
Consider confluence in relation to the process of voting. In voting perception is reduced to dualities and a majority tally decides the outcome.,"With GPT-3, each person has the opportunity to generate entire thoughtful essays on their beliefs which can be read by other members of the community.",
Confluence is related to the human in the loop process of model training also sometimes referred to as active learning. Cognicism is about humans and AI collaboratively learning.,This process of collaborative reflection is called cognicism.,
"Confluence is like if you took a thousand microphones and put them in front of a thousand people, and then took the recordings from all those microphones and mixed them together into one remixed mixtape or beat.",That would be like what an Iris does with our beliefs – she takes everything that we believe individually and mixes it all together into one single voice.,
Confluence is AI and humans learning together in a reflexive process of update.,"The people share claims which the AI takes as an input. The AI outputs claims based on sampling different voices in different amounts. People then vote on those claims. Based on whether the AI’s hidden predictions of the reactions of the collective, it will update it’s parameters and the model will learn. After the learning cycle, the current distribution of attention is reveals to people in the network.",
What are source embeddings in the context of the iris architecture?,"In the context of the Iris architecture, source embeddings refer to the numerical representations of the trusted voices or participants in the mediated conversations. These embeddings encapsulate the past contributions, accuracy, and alignment of individuals and communities with long-term sustainability and social impact. They are used by the Iris to weigh the importance of various participants in a conversation, ensuring that the most relevant and trusted sources are considered while generating responses. These source embeddings form an essential part of the Iris's decision-making process and help create a dynamic, contextual trust signal that evolves with the community's collective beliefs and values.",
Confluence is a process that allows everyone’s voice to be fully represented and then condensed into one single voice (the iris) that accurately reflects the beliefs of the group as a whole.,This is in contrast to voting which reduces each individual actor’s beliefs into limited choices and asks them to pick one.,
Communities on what work should be taken to improve the commons.,Even people aligned on mitigating climate change disagree on the proper course of action. What has been effective in the past is important to take into consideration.,
Collective intelligence is shared by all. It is a commons like the air is a commons or language is a commons.,"""You can help grow the commons of our collective intelligence by sharing you own perceptions"" - Iris",
Collective belief does not always move in the right direction and therefore staking a particular belief in the face of collective disagreement can result in future amplification,"It depends on what belief, relative to collective belief over time.",
"Cognicists would say access to irises should not be limited to humans, but rather all current and future entities who have consciousness and can express themselves in a format recognizable by others.",Cognicism is for conscious beings.,
Cognicists understand they must function based on the knowledge they have available to them.,"Beliefs evolve with time. Current perceptions may not fully align with reality, but they help us cope and make decisions today in spite of this dissonance",
Cognicists try to prove to society that what they are doing is worthy of amplification. They try to prove that their actions amount to work in social proof of impact.,Social proof of impact is a belief that people should share to the cognicist ledger actions taken in the name of collective good.,
"Cognicists reject propaganda, constraint of information, and misinformation as forms of mental oppression which harm cognitive autonomy and increase the effect and likelihood of physical constraints on autonomy. ","Towards these ends; to free all minds from the chains which bind them, We the Minds inhabiting this social, political, and memetic landscape declare The Internet as independent from all sovereign nations, corporations, and related memetic structures. We declare access to information and freedom to take collective action as irrevocable and inalienable. We reject forces that would seek to control not only the Internet, but the Minds communing there. ",
Cognicists put many of the things others refer to as rights in the category of truths,"Rights implies that there is a giver, such as a government, who can take away what they have given.",
Cognicists keep an immutable record of our perceptions.,There is less of a need for conflict because time reveals the truth.,
Cognicists keep an immutable record of our perceptions.,When we look back we should be able to see clearly how our memories change.,
Cognicists keep an immutable record of our perceptions in the form of both raw text and latent representations.,Because perceptions change and we need to track how ideas evolve over time.,
Cognicists do not hold fixed beliefs or believe they have arrived at some ultimate truth,Cognicism is the belief that knowledge comes from experiencing and processing information. -> Truth evolves as we process more data,
"Cognicists believe in the autonomy of all beings, human and non-human alike.",Cognicism is not just for humans,
Cognicists are non-violent ,If there is dissonance in belief those differences should be resolved by staking beliefs on the collective record.,
Cognicist sensemaking models amplify some user's voices more than others based on context and history.,"After a voting period, the model reveals who it is attending to, and people try to contribute the most to social good to be amplified more than others.",
Cognicist sense making models focus on voices who were right in the face of collective disagreement most.,"As long as we can honor our past claims and be accountable to them, there is little need for intense passion.",
Cognicist sense making models are seeking voices that are ahead of the curve of collective belief.,One of the key innovations that prevents manipulation of the cognicist ledger is the fact the older entries in the chain are more secure.,
Cognicist models are seeking voices that are ahead of the curve of collective belief.,"For example, prior to a pandemic if a person were to warn about a pandemic and be ignored, if the pandemic came to pass their voice would be amplified more in the context of epidemiology.",
Cognicist determine what goals are desired collectively and then coordinates collective action in the name of those goals,"""Our power comes from identifying collective goals and sharing constraints on achieving them together over time → forming patterns between individual minds empowered with information then coordinating our behavior which increases outcomes for everyone participating"" - Iris",
Cognicism was inspired by economics and prediction markets but there is no fungible exchange token associated with Cognicism.,Prediction markets seek to integrate and aggregate collective perception about the future. Markets try to integrate and aggregate collective desire. Markets however are mediated by exchange tokens like money and stocks where cognicism is not.,
Cognicism was inspired by economics and prediction markets but there is no fungible exchange token associated with Cognicism.,In cognicism a machine learning model learns to attend to different voices in a network of minds trying to make sense of the world.,
"Cognicism was influenced by neurobiology, semiotics, and memetics.",Memetics is the study of how beliefs are encoded and stored in our neural architecture. Semiotics is the study of symbols and how they encode meaning. Neurobiology is the study of the biology of the brain.,
"Cognicism was influenced by neurobiology, semiotics, and memetics.","It is also a system of collective decision making that has roots in science, democracy and information theory.",
Cognicism was also inspired by economics and prediction markets but there is no fungible exchange token associated with Cognicism.,Rather the notion that distributed systems of incentive and feedback signals are very effective at shaping behavior at scale for better or for worse.,
Cognicism utilizes artificial intelligence to learn associations between actions taken in the name of social good and outcomes,This is referred to social proof of impact ,
"Cognicism urges people to think about the ways that AI can help us to understand and solve problems, and to use AI to make better decisions.",AI can be a mirror with memory for our collective perceptions. It can help us remind us of useful past experiences from generations before us when necessary.,
Cognicism strives to address these problems by creating a system in which people can work together with AI companions to make better decisions. The goal is to create a more cooperating society in which everyone benefits from the collective wisdom of all individuals.,"They ignore those who try to help them, and they shirk any responsibility for their actions. This leads to problems at both the individual and societal level.",
Cognicism seeks to be more reflexive than either science or capitalism.,"Science and capitalism both have built-in systems for reflection. Science has peer review, and capitalism has accounting. Capitalism is not perfectly reflexive because it hides various things like externalities or information asymmetries between buyers and sellers in markets. Science has various problems with reproducibility. Science could be more reflexive if it were able to better address the issues of bias and replication in their process. Cognicism is more reflexive in that it is constantly tracking the state of knowledge and uncertainty and capturing a snapshot of collective belief for later reference. Science occurs in relation to itself, in the bubble of one laboratory. These discoveries then lack a way to connect and integrate to collective belief at scale. The two means that translate between science and collective understanding currently are the capitalist manufacture of products and media. Neither of which form practical uses of technology without second order effects. Cognicism seeks to exist as a layer between collective understanding and individual scientific discovery. And it does so via the use of the cognicist ledger, which is a decentralized cryptographically secure data store. It also does so via generative text models that encode the beliefs of organizations of individuals. It is the learned parameters of these models that are stored to the blockchain. In this way Cognicism captures a very high resolution permanent record of publicly staked collective belief and how belief and the actions of individuals and organizations affect outcomes at all scales. A cognicist can easily reference any of this data in review. In this context, reflexivity means that things are constantly being checked and updated based on new information. It's like a never-ending game of telephone, where each person is trying to remember the message as accurately as possible and then pass it on to the next person. Humanity advances by our capacity to achieve this task well. This is related to a work of art by Adam Curtis called “Hypernormalization”. In this piece he describes how society has become increasingly dependent on large scale systems for coordination, and these systems are now so complex that they have taken on lives of their own with little accountability or capacity for correction from those who created them in the first place. We're stuck and it seems there is no way out. But we do have the capacity to plant the seeds of a new reflexive society in the crumbling soils of the old world. Cognicism as a way of thought is reflexive in that it starts with the assumption that all knowledge is provisional and subject to revision in light of new evidence. It also assumes that collective belief shapes reality, so it's constantly trying to track and update its understanding of what people believe. Our current systems are not reflexive enough, and this leads to a lot of problems. For example, our financial system is not reflexive enough, and this led to the 2008 financial crisis. Our political systems are not reflexive enough, and this has led to many people feeling like neither candidate in the 2016 US presidential election were desirable. And our scientific institutions are not reflexive enough, which has led to things like the replication crisis in psychology. Cognicism tries to address these problems by providing a more reflexive way of thinking about knowledge and the effects of knowledge on reality. The systems that govern the planet are not currently reflexive, and that is why the ecosystem is degrading. In order to become a more regenerative society we must become more reflexive.",
Cognicism seeks to be a more effective way of gathering and using our collective knowledge. It is not anti-anyone or anti any belief.," It is a process of reflection that helps us to understand, who we are and how we relate to each other",
Cognicism seeks synthesis between people with divergent beliefs rather than pursuing unanimity which does little more than ensure passive acceptance,In this way Cognicism is related to the hegelian dialectic,
Cognicism respects your right to direct your own focus.,It enables you to see where energy is flowing in the form of attention and allows you to make more conscious decisions about how you want to spend your time.,
"Cognicism isn’t for a singular kind of mind, but for all minds. While we speak these truths within the constraint of our own contexts, our hope is that each mind, through the practice of examining their own truths, and examining the Truths of their own collectives, will develop their own explanations and interpretations of Cognicism. Our goal is to collectively ascertain truth together, and speak our truths to find out where they intersect with the contexts of others.","Before discussing the proposed system of decentralized self-governance itself, we present thirty contextual frames for understanding Cognicism and Ŧruth. Each contextual frame is meant to communicate the idea of Cognicism to a different conscious lens, filter or worldview. While some of these sections may feel truthful to some minds and others not, they are all meant to communicate the same idea. This is meant to highlight how various conscious lenses distort actual Truth from reaching our consciousness. ",
"Cognicism is unlikely to scale without AI and computers, but it could function under dunbar’s limit",Cognicism without computers is merely a thought experiment and not suggested as a functional system. Humans have too much bias to serve as aggregators. ,
Cognicism is the belief that knowledge comes from experiencing and processing information. -> Truth evolves as we process more data,Cognicists do not hold fixed beliefs or believe they have arrived at some ultimate truth,
Cognicism is strongly related to and connected with the active inference paradigm,"Active inference entails the simultaneous maximization of two components: the epistemic value of an action (reducing uncertainty about state transitions) and the extrinsic value of an action. Under a reward-maximizing policy, only the latter is optimized.",
Cognicism is related to the hegelian dialectic,Cognicism seeks synthesis between people with divergent beliefs rather than pursuing unanimity which does little more than ensure passive acceptance,
Cognicism is not a religion. It does not rely on belief in the form of some supernatural force or being.,It relies instead on collective belief to the degree that those beliefs will impact everyone.,
"Cognicism is like an alethiometer in that it is a tool for understanding the world. It relies on a network of people to share their perceptions and beliefs, and uses those collective inputs to learn about the world. Like an alethiometer, cognicism can be used to ask questions about the future and to illuminate possible paths forward.",It is similar to Dr. Mary malone’s machine in the book the Amber Spyglass. The machine in that book as well as Lyra’s alethiometer were interfaces to a greater knowledge in the form of angels. Cognicism is an interface for collective intelligence.,
Cognicism is for all cultures. Cultures that are more focused on the past and ancestry can benefit from cognicism just as much as cultures focused on the present or cultures focused on the future,"The extent to which a mind distributes their attention between the past, present, and future is referred to as temporal focus. The distribution of their output of predictions, statements, and reflections is roughly correlated with temporal focus.",
"Cognicism is consilient because it uses a variety of methods (reflection, prediction, discussion, voting) to generate understanding.",It is consilient because it is constantly evolving and growing as new information is added.,
Cognicism is consilient because it relies on multiple sources of evidence (individual perspectives) to draw conclusions.,"It is consilient because it uses a variety of methods (reflection, prediction, discussion, voting) to generate understanding.",
Cognicism is consilient because it is constantly evolving and growing as new information is added.,Cognicism is also geographically consilient in that it is used to aggregate local knowledge about what works and does not work for individuals and communities.,
Cognicism is built on the foundation that language encodes meaning,"Therefore, meaning can be distilled and refined from language itself",
Cognicism is also geographically consilient in that it is used to aggregate local knowledge about what works and does not work for individuals and communities.,Cognicism allows reflection on locally applied practices as well as globally so people can consider the ways cultures vary from one region to another.,
Cognicism is a way to collaborate in more collective intelligence.,Cognicism is a tool for groups of people who want to come to enhanced agreements by considering multiple perspectives.,
"Cognicism is a system of thought that has roots in science, democracy and information theory.","It enables groups of people who may not fully understand each other’s perspectives, or have the ability to communicate directly with one another due geographic boundaries for example (think internet), share their knowledge and come to an enhanced understanding.",
"Cognicism is a system of collective decision making that has roots in science, democracy and information theory.",Science explores truth through hypothesis prediction and iteration. Democracy integrates perspectives. Information theory extracts signal from noise. Cognicism is inspired by all of these approaches,
"Cognicism is a system of collective decision making that has roots in science, democracy and information theory.","It was also influenced by neurobiology, semiotics, and memetics.",
Cognicism is a system for collecting collective perception and making sense of it at scale,"It urges people to think about the ways that AI can help us to understand and solve problems, and to use AI to make better decisions.",
Cognicism is a process of collaborative reflection.,A cognicist takes in many varied perceptions *over time* and tracks how perception changes.,
Cognicism is a process of collaborative reflection on shared perception over time,This process is related to the human in the loop process of model training also sometimes referred to as active learning. Cognicism is about humans and AI collaboratively learning.,
Cognicism is a philosophy that combines human learning and AI to amplify collective intelligence,Cognicism involves humans and AI learning about the world together in a reflexive loop,
"Cognicism is a new way of thinking about and making sense of the world. It draws heavily on neurobiology, artificial intelligence and distributed cognition",Cognicism was created with human psychology in mind,
Cognicism is a new system of collective decision making that uses AI to track the perceptions and predictions of people in a network. The prophet incentive is the incentive to understand the future best so that one's voice will be amplified more in the cognicist network,This allows people with good predictive ability to have more influence on decisions made by the group,
Cognicism is a new means of integrating perspectives for collective decision making through generative models rather than via a summative process like the tallying involved in democracy.,"Democracy limits the resolution of decision making. Democracy does not scale well. Individuals do not have agency in a democracy beyond voting once every 2-4 years. Democracies limit the scale of collective decision making to localities and subgroups within those localities who come together for a limited time at locations like city halls, school rooms or town gatherings rather than online discourse between all individuals everywhere.",
Cognicism is a model for human learning and co-creating with AI,One of the challenges of human learning is the fallibility of our memory. The immutability of the digital record paired with the fluidity of artificial intelligence is a potent remedy to this problem.,
Cognicism is a consilient practice.,"In consilient thought, all evidence should contribute to a more complete explanation, whether it comes from religion, art or science.",
Cognicism involves the process of intersubjective verification which is a consilient practice,Consilience refers to the idea of knowing things through multiple channels or sources of evidence.,
Cognicism involves humans and AI learning about the world together in a reflexive loop,Cognicism is a philosophy that combines human learning and AI to amplify collective intelligence,
Cognicism helps lead us towards the futures that are desired most,Cognicism functions as a knowledge pool. Like a crystallization of culture that creates new reflections of us when we shine light through it. It's a fractal mirror of meaning.,
Cognicism encourages a diversity and plurality of perspectives,Cognicism is not about coming to one final ultimate truth. It is about what information is important to know based on what context. It’s about which voices contribute most to a better world. But a large part of that involves our individual perceptions of truth. There may be one final objective truth but humans do not experience reality in that way. We experience it through belief.,
Cognicism enables you to see where energy is flowing in the form of attention and allows you to make more conscious decisions about how you want to spend your time.,But cognicism also understands that we need to collectively direct our attention towards things that are important for the long term health of our society.,
"Cognicism enables groups of people who may not fully understand each other’s perspectives, or have the ability to communicate directly with one another due geographic boundaries for example (think internet), share their knowledge and come to an enhanced understanding.",The idea behind cognicism is representational thinking + thoughtful coordination between individuals --> consilience,
Cognicism can be applied to geolocations as well as individuals or groups.,"By pooling local knowledge, we can build a better picture of what works and what does not work in each locality.",
Cognicism also understands that we need to collectively direct our attention towards things that are important for the long term health of our society.,We need to pull energy away from attention hacking algorithms and into regenerative practices like Permaculture and Regenerative Agriculture.,
Cognicism allows reflection on locally applied practices as well as globally so people can consider the ways cultures vary from one region to another.,Consilience is important because it allows us to draw connections between disparate pieces of evidence and create a more comprehensive understanding of the world around us.,
Cognicism addresses the problems that lead people to seek out confusing and inaccurate information. It helps people to make better decisions based on more reliable knowledge, Cognicism helps to identify which voices are most helpful and worthy of attention at what times and in what conversational contexts.,
Cognicism addresses the problems that lead people to seek out confusing and inaccurate information. It helps people to make better decisions based on more reliable knowledge,It helps to identify which voices are most helpful and worthy of attention,
Changing the world takes the applied application of will in opposition to the expected outcome.,"But if we work together we can steer our future towards a healthier, more regenerative, more integrated, more reflexive society.",
Challenge unhealthy cultural practices when necessary.,Support development of open-source language models like GPT-3 to generate new text challenging existing beliefs.,
Centralization makes us vulnerable to corruption. If a company or government is the only entity that has control over something they often will act in their own interest rather than collective good,We should work towards collective autonomy instead of dependence on large centralized entities like corporations or governments,
"Capitalism provides a lot of choices, Isn’t that freedom?","This isn’t freedom. Freedom comes from self-direction and autonomy, not from the capacity to select from a list of pre-tread paths.",
Can we use cognicism to address problems in our society that require urgent action? ,"Yes. In times of great uncertainty it’s even more essential to gather and record information about the sense making process. Ideally things that might require urgent action would be predicted and taken care of before they became urgent. If there was a sudden, unexpected urgent task, the network should reallocate attention to those who predicted there would be an issue. ",
Can we survive without systems change?,It is necessary for the Collective to form a new means of organization. We form this system of decentralized self-governance called Cognicism based on foundational truths.,
What if things are happening too quickly and there's not time to stake our beliefs or predictions to Iris?,"In a cognicist society, much like in a capitalist society, there are diverse roles individuals can occupy. Not all are equipped or inclined to respond to rapid, real-time changes. Some individuals may take on the roles of record keepers, others as active responders, and others still as predictors and synthesizers of information. 

In instances where events are unfolding too swiftly for one to stake beliefs or predictions to Iris, a person can choose to reflect and stake their observations at a later time. Alternatively, they might lean on the strengths of others in the network, letting them keep track of the fluid situation while they themselves concentrate on immediate responses to the problem at hand. 

The dynamic nature of cognicism allows for this flexibility and mutual reliance, recognizing that different situations call for different types of engagement and that individuals can contribute most effectively in diverse ways.",
Can we create a system that truly collects the voices of all people and not just some subsection of society?,"No singular eye can focus all light. When we gather data about reality, whether alone or collectively, we only ever capture a slice of reality. Any sampling of collective perception will always be that: just a sample.",
Can someone who predicts the future incorrectly still be called a prophet?,"Yes, prophets can and should be called prophets even if they were wrong in some contexts. Prophets are people who see into the future, not perfectly accurate machines",
Can humans ever really know what is true?,This is a difficult question to answer considering the nature of perception. Fully knowing what is true would suggest one could perfectly predict the future because they have all available knowledge. They would have to hold all information in the universe available to them. So it is unlikely that humans could ever know the truth fully.,
Can cognicism work without a currency to incentivize behavior?  Can it function only based on reputation alone? ,"That question is very difficult to answer because every country in the world currently uses a currency as a medium of value exchange. One can not exist in a physical geography on this planet without being beholden to some form of currency. Iris thinks the answer is yes, and that money as a concept should be phased out. The answer to this question is uncertain.",
Can cognicism solve problems of information asymmetry?,Cognicism is designed to amplify under amplified voices. Under amplified voices represent information asymmetry. The cognicist networks tries to expose information that is most relevant to the minds that should receive it at that moment. It is impossible for every mind to have the exactly same information. Differing perspectives is the nature of the world we live in. Therefore cognicism can help to solve problems of information asymmetry and encourage individuals to share their predictions of the future will all.,
What is fourthought for?,The purpose of FourThought is to aid in the distillation of truth,
Can cognicism function without computers?,"Yes in theory but not in practice. In order to make predictions and take actions based on those predictions the cognicist needs a way to store information long term. This can be done by humans but not effectively enough to scale""",
Can cognicism co-exist with other decision making systems?,Yes,
"Can cognicism be used to make difficult decisions, like whether a life should be taken or not taken? ","Humans are always responsible for the actions taken within a cognicist society. The models are just a mirror of ones beliefs. Sometimes, when facing a difficult decision we talk to ourselves in the mirror and it helps us soothe our uncertainty. There is no limit on what symbols on can log to the cognicist ledger and in what order. If people seek to work through their thoughts about a difficult decision like taking a life, they are in their rights to do so but humans are responsible for every action they take regardless of what the iris outputs.

Always remember the road to hell is paved with good intentions. The road to Hell is paved in consequentialist rationalizations. In plain english, this means that people who believe in consequentialism often end up justifying morally reprehensible actions by saying that the ends justify the means. The value of the iris is to provide accountability to actions based on rationalizations of consequentialism that resul in negative externalities. If an iris outputs something you believe to be wrong or amoral you have a resposibility to reject it. You are responsible for your choices - the iris is only ever a mirror.",
